更新时间: 2026-03-24 02:34:15（北京时间）

更新时间,#genre#
2026-03-24 02:34:15,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

央视频道,#genre#
西藏卫视,http://171.120.189.21:89/rtp/226.0.2.66:8440$山西联通
三沙卫视,http://113.102.83.19:4022/rtp/239.253.43.113:5146$广东电信
兵团卫视,http://113.102.83.19:4022/rtp/239.77.0.48:5146$广东电信
兵团卫视,http://113.102.83.19:4022/rtp/239.77.0.77:5146$广东电信
延边卫视,http://113.102.83.19:4022/rtp/239.77.0.10:5146$广东电信
延边卫视,http://113.102.83.19:4022/rtp/239.77.1.99:5146$广东电信
山东教育卫视,http://113.102.83.19:4022/rtp/239.77.1.35:5146$广东电信
山东教育卫视,http://113.102.83.19:4022/rtp/239.77.0.83:5146$广东电信
山东教育卫视,http://171.120.189.21:89/rtp/226.0.2.130:8952$山西联通
中国教育1台,http://171.8.84.159:8800/rtp/239.16.20.78:10780$河南电信
中国教育1台,http://113.102.83.19:4022/rtp/239.77.0.200:5146$广东电信
中国教育1台,http://144.255.40.221:7788/rtp/239.21.2.7:5002$山东电信
中国教育1台,http://171.120.189.21:89/rtp/226.0.2.68:8456$山西联通
中国教育1台,http://171.120.189.21:89/rtp/226.0.2.181:9360$山西联通
中国教育2台,http://113.102.83.19:4022/rtp/239.77.0.28:5146$广东电信
中国教育2台,http://113.102.83.19:4022/rtp/239.77.1.69:5146$广东电信
中国教育2台,http://171.120.189.21:89/rtp/226.0.2.69:8464$山西联通
中国教育4台,http://113.102.83.19:4022/rtp/239.253.43.114:5146$广东电信
中国教育4台,http://171.120.189.21:89/rtp/226.0.2.70:8472$山西联通
早期教育,http://113.102.83.19:4022/rtp/239.77.0.180:5146$广东电信
早期教育,http://171.120.189.21:89/rtp/226.0.2.99:8704$山西联通

数字频道,#genre#
CHC动作电影,http://144.255.40.221:7788/rtp/239.21.2.128:5002$山东电信
CHC动作电影,http://171.120.189.21:89/rtp/226.0.2.94:8012$山西联通
CHC家庭影院,http://144.255.40.221:7788/rtp/239.21.2.126:5002$山东电信
CHC家庭影院,http://171.120.189.21:89/rtp/226.0.2.240:9820$山西联通
CHC影迷电影,http://144.255.40.221:7788/rtp/239.21.2.127:5002$山东电信
CHC影迷电影,http://171.120.189.21:89/rtp/226.0.2.93:8004$山西联通
凤凰卫视中文台,http://144.255.40.221:7788/rtp/239.21.2.153:5002$山东电信
凤凰卫视资讯台,http://144.255.40.221:7788/rtp/239.21.2.163:5002$山东电信
凤凰卫视香港台,http://144.255.40.221:7788/rtp/239.21.2.164:5002$山东电信
求索纪录,http://113.102.83.19:4022/rtp/239.77.0.21:5146$广东电信
求索纪录,http://144.255.40.221:7788/rtp/239.21.2.159:5002$山东电信
金鹰纪实,http://171.8.84.159:8800/rtp/239.16.20.153:11530$河南电信
金鹰纪实,http://113.102.83.19:4022/rtp/239.77.0.160:5146$广东电信
金鹰纪实,http://144.255.40.221:7788/rtp/239.21.1.170:5002$山东电信
金鹰纪实,http://171.120.189.21:89/rtp/226.0.2.194:9464$山西联通
纪实科教,http://144.255.40.221:7788/rtp/239.21.1.172:5002$山东电信
睛彩青少,http://113.102.83.19:4022/rtp/239.77.1.22:5146$广东电信
睛彩竞技,http://113.102.83.19:4022/rtp/239.77.1.20:5146$广东电信
睛彩篮球,http://113.102.83.19:4022/rtp/239.77.1.21:5146$广东电信
睛彩广场舞,http://113.102.83.19:4022/rtp/239.77.1.23:5146$广东电信
魅力足球,http://171.8.84.159:8800/rtp/239.16.20.113:11130$河南电信
魅力足球,http://144.255.40.221:7788/rtp/239.21.2.95:5002$山东电信
快乐垂钓,http://171.8.84.159:8800/rtp/239.16.20.67:10670$河南电信
快乐垂钓,http://113.102.83.19:4022/rtp/239.77.0.145:5146$广东电信
快乐垂钓,http://144.255.40.221:7788/rtp/239.21.2.97:5002$山东电信
快乐垂钓,http://171.120.189.21:89/rtp/226.0.2.214:9624$山西联通
茶频道,http://171.8.84.159:8800/rtp/239.16.20.68:10680$河南电信
茶频道,http://113.102.83.19:4022/rtp/239.77.0.15:5146$广东电信
茶频道,http://171.120.189.21:89/rtp/226.0.2.213:9616$山西联通
先锋乒羽,http://171.120.189.21:89/rtp/226.0.2.121:8880$山西联通
天元围棋,http://113.102.83.19:4022/rtp/239.253.43.98:5146$广东电信
汽摩,http://113.102.83.19:4022/rtp/239.77.0.209:5146$广东电信
汽摩,http://113.102.83.19:4022/rtp/239.77.1.205:5146$广东电信
汽摩,http://144.255.40.221:7788/rtp/239.21.2.142:5002$山东电信
汽摩,http://171.120.189.21:89/rtp/226.0.2.95:8672$山西联通
梨园频道,http://144.255.40.221:7788/rtp/239.21.2.101:5002$山东电信
梨园频道,http://171.120.189.21:89/rtp/226.0.2.115:8832$山西联通
文物宝库,http://144.255.40.221:7788/rtp/239.21.2.109:5002$山东电信
文物宝库,http://171.120.189.21:89/rtp/226.0.2.110:8792$山西联通
武术世界,http://144.255.40.221:7788/rtp/239.21.2.96:5002$山东电信
武术世界,http://171.120.189.21:89/rtp/226.0.2.97:8688$山西联通
乐游,http://171.8.84.159:8800/rtp/239.16.20.111:11110$河南电信
乐游,http://144.255.40.221:7788/rtp/239.21.2.104:5002$山东电信
乐游,http://171.120.189.21:89/rtp/226.0.2.77:8528$山西联通
生活时尚,http://171.8.84.159:8800/rtp/239.16.20.114:11140$河南电信
生活时尚,http://144.255.40.221:7788/rtp/239.21.2.103:5002$山东电信
生活时尚,http://171.120.189.21:89/rtp/226.0.2.84:8584$山西联通
都市剧场,http://171.8.84.159:8800/rtp/239.16.20.38:10380$河南电信
都市剧场,http://144.255.40.221:7788/rtp/239.21.2.90:5002$山东电信
都市剧场,http://171.120.189.21:89/rtp/226.0.2.81:8560$山西联通
欢笑剧场,http://171.8.84.159:8800/rtp/239.16.20.39:10390$河南电信
游戏风云,http://171.8.84.159:8800/rtp/239.16.20.112:11120$河南电信
游戏风云,http://144.255.40.221:7788/rtp/239.21.2.107:5002$山东电信
游戏风云,http://171.120.189.21:89/rtp/226.0.2.78:8536$山西联通
金色学堂,http://171.8.84.159:8800/rtp/239.16.20.115:11150$河南电信
金色学堂,http://144.255.40.221:7788/rtp/239.21.2.102:5002$山东电信
金色学堂,http://171.120.189.21:89/rtp/226.0.2.182:9368$山西联通
动漫秀场,http://171.8.84.159:8800/rtp/239.16.20.40:10400$河南电信
动漫秀场,http://144.255.40.221:7788/rtp/239.21.2.92:5002$山东电信
动漫秀场,http://171.120.189.21:89/rtp/226.0.2.183:9376$山西联通
新动漫,http://171.120.189.21:89/rtp/226.0.2.73:8496$山西联通
卡酷少儿,http://113.102.83.19:4022/rtp/239.77.0.79:5146$广东电信
卡酷少儿,http://113.102.83.19:4022/rtp/239.77.1.50:5146$广东电信
卡酷少儿,http://144.255.40.221:7788/rtp/239.21.2.120:5002$山东电信
金鹰卡通,http://171.8.84.159:8800/rtp/239.16.20.104:11040$河南电信
金鹰卡通,http://113.102.83.19:4022/rtp/239.77.0.164:5146$广东电信
金鹰卡通,http://113.102.83.19:4022/rtp/239.77.1.52:5146$广东电信
金鹰卡通,http://144.255.40.221:7788/rtp/239.21.2.121:5002$山东电信
金鹰卡通,http://171.120.189.21:89/rtp/226.0.2.172:9288$山西联通
优漫卡通,http://113.102.83.19:4022/rtp/239.77.0.222:5146$广东电信
优漫卡通,http://113.102.83.19:4022/rtp/239.77.1.79:5146$广东电信
嘉佳卡通,http://113.102.83.19:4022/rtp/239.77.0.179:5146$广东电信
嘉佳卡通,http://113.102.83.19:4022/rtp/239.77.1.15:5146$广东电信
中国交通,http://144.255.40.221:7788/rtp/239.21.1.115:5002$山东电信
中国天气,http://113.102.83.19:4022/rtp/239.77.1.2:5146$广东电信
中国天气,http://171.120.189.21:89/rtp/226.0.2.103:8736$山西联通
华数热播剧场,http://113.102.83.19:4022/rtp/239.77.0.106:5146$广东电信
华数少儿动画,http://113.102.83.19:4022/rtp/239.77.0.109:5146$广东电信

湖北,#genre#

